Team,Team Name,League,Year,Games,Wins,Home Runs,RS,RA,OBP,SLG,BA,Playoffs,PlayoffsFinish,Total Home Attendance,Attendance Bin
BAL,Baltimore Orioles,AL,2007,162,69,142,756,868,0.333,0.412,0.272,No,,2172487,2M–2.5M
BOS,Boston Red Sox,AL,2007,162,96,166,867,657,0.362,0.444,0.279,Yes,1.0,2970755,2.5M–3M
CHC,Chicago Cubs,NL,2007,162,85,151,752,690,0.333,0.422,0.271,Yes,4.0,3252462,>3M
CHW,Chicago White Sox,AL,2007,162,72,190,693,839,0.318,0.404,0.246,No,,2684395,2.5M–3M
CIN,Cincinnati Reds,NL,2007,162,72,204,783,853,0.335,0.436,0.267,No,,2058593,2M–2.5M
CLE,Cleveland Indians,AL,2007,162,96,178,811,704,0.343,0.428,0.268,Yes,3.0,2275911,2M–2.5M
COL,Colorado Rockies,NL,2007,163,90,171,860,758,0.354,0.437,0.28,Yes,2.0,2376250,2M–2.5M
DET,Detroit Tigers,AL,2007,162,88,177,887,797,0.345,0.458,0.287,No,,3047124,>3M
FLA,Florida Marlins,NL,2007,162,71,201,790,891,0.336,0.448,0.267,No,,1370511,<1.5M
HOU,Houston Astros,NL,2007,162,73,167,723,813,0.33,0.412,0.26,No,,3020405,>3M
KCR,Kansas City Royals,AL,2007,162,69,102,706,778,0.322,0.388,0.261,No,,1616867,1.5M–2M
LAA,Los Angeles Angels,AL,2007,162,94,123,822,731,0.345,0.417,0.284,Yes,4.0,3365632,>3M
LAD,Los Angeles Dodgers,NL,2007,162,82,129,735,727,0.337,0.406,0.275,No,,3856753,>3M
MIL,Milwaukee Brewers,NL,2007,162,83,231,801,776,0.329,0.456,0.262,No,,2869144,2.5M–3M
MIN,Minnesota Twins,AL,2007,162,79,118,718,725,0.33,0.391,0.264,No,,2296383,2M–2.5M
NYM,New York Mets,NL,2007,162,88,177,804,750,0.342,0.432,0.275,No,,3853955,>3M
NYY,New York Yankees,AL,2007,162,94,201,968,777,0.366,0.463,0.29,Yes,4.0,4271867,>3M
OAK,Oakland Athletics,AL,2007,162,76,171,741,758,0.338,0.407,0.256,No,,1921844,1.5M–2M
PHI,Philadelphia Phillies,NL,2007,162,89,213,892,821,0.354,0.458,0.274,Yes,4.0,3108330,>3M
PIT,Pittsburgh Pirates,NL,2007,162,68,148,724,846,0.325,0.411,0.263,No,,1749142,1.5M–2M
SDP,San Diego Padres,NL,2007,163,89,171,741,666,0.322,0.411,0.251,No,,2790074,2.5M–3M
SEA,Seattle Mariners,AL,2007,162,88,153,794,813,0.337,0.425,0.287,No,,2672409,2.5M–3M
SFG,San Francisco Giants,NL,2007,162,71,131,683,720,0.322,0.387,0.254,No,,3223202,>3M
STL,St. Louis Cardinals,NL,2007,162,78,141,725,829,0.337,0.405,0.274,No,,3552180,>3M
TBD,Tampa Bay Devil Rays,AL,2007,162,66,187,782,944,0.336,0.433,0.268,No,,1389106,<1.5M
TEX,Texas Rangers,AL,2007,162,75,179,816,844,0.328,0.426,0.263,No,,2353862,2M–2.5M
TOR,Toronto Blue Jays,AL,2007,162,83,165,753,699,0.327,0.419,0.259,No,,2360648,2M–2.5M
WSN,Washington Nationals,NL,2007,162,73,123,673,783,0.325,0.39,0.256,No,,1961579,1.5M–2M
ARI,Arizona Diamondbacks,NL,2006,162,76,160,773,788,0.331,0.424,0.267,No,,2091005,2M–2.5M
ATL,Atlanta Braves,NL,2006,162,79,222,849,805,0.337,0.455,0.27,No,,2549524,2.5M–3M
BAL,Baltimore Orioles,AL,2006,162,70,164,768,899,0.339,0.424,0.277,No,,2153150,2M–2.5M
BOS,Boston Red Sox,AL,2006,162,86,192,820,825,0.351,0.435,0.269,No,,2930768,2.5M–3M
CHC,Chicago Cubs,NL,2006,162,66,166,716,834,0.319,0.422,0.268,No,,3123215,>3M
CHW,Chicago White Sox,AL,2006,162,90,236,868,794,0.342,0.464,0.28,No,,2957414,2.5M–3M
CIN,Cincinnati Reds,NL,2006,162,80,217,749,801,0.336,0.432,0.257,No,,2134472,2M–2.5M
CLE,Cleveland Indians,AL,2006,162,78,196,870,782,0.349,0.457,0.28,No,,1998070,1.5M–2M
COL,Colorado Rockies,NL,2006,162,76,157,813,812,0.341,0.433,0.27,No,,2104560,2M–2.5M
DET,Detroit Tigers,AL,2006,162,95,203,822,675,0.329,0.449,0.274,Yes,2.0,2595937,2.5M–3M
FLA,Florida Marlins,NL,2006,162,78,182,758,772,0.331,0.435,0.264,No,,1165120,<1.5M
HOU,Houston Astros,NL,2006,162,82,174,735,719,0.332,0.409,0.255,No,,3022763,>3M
KCR,Kansas City Royals,AL,2006,162,62,124,757,971,0.332,0.411,0.271,No,,1372684,<1.5M
LAA,Los Angeles Angels,AL,2006,162,89,159,766,732,0.334,0.425,0.274,No,,3406790,>3M
LAD,Los Angeles Dodgers,NL,2006,162,88,153,820,751,0.348,0.432,0.276,Yes,4.0,3758421,>3M
MIL,Milwaukee Brewers,NL,2006,162,75,180,730,833,0.327,0.42,0.258,No,,2335643,2M–2.5M
MIN,Minnesota Twins,AL,2006,162,96,143,801,683,0.347,0.425,0.287,Yes,4.0,2285018,2M–2.5M
NYM,New York Mets,NL,2006,162,97,200,834,731,0.334,0.445,0.264,Yes,3.0,3372045,>3M
NYY,New York Yankees,AL,2006,162,97,210,930,767,0.363,0.461,0.285,Yes,4.0,4247980,>3M
OAK,Oakland Athletics,AL,2006,162,93,175,771,727,0.34,0.412,0.26,Yes,3.0,1976625,1.5M–2M
PHI,Philadelphia Phillies,NL,2006,162,85,216,865,812,0.347,0.447,0.267,No,,2701815,2.5M–3M
PIT,Pittsburgh Pirates,NL,2006,162,67,141,691,797,0.327,0.397,0.263,No,,1861549,1.5M–2M
SDP,San Diego Padres,NL,2006,162,88,161,731,679,0.332,0.416,0.263,Yes,4.0,2659732,2.5M–3M
SEA,Seattle Mariners,AL,2006,162,78,172,756,792,0.325,0.424,0.272,No,,2480717,2M–2.5M
SFG,San Francisco Giants,NL,2006,161,76,163,746,790,0.324,0.422,0.259,No,,3130304,>3M
STL,St. Louis Cardinals,NL,2006,161,83,184,781,762,0.337,0.431,0.269,Yes,1.0,3407104,>3M
TBD,Tampa Bay Devil Rays,AL,2006,162,61,190,689,856,0.314,0.42,0.255,No,,1369031,<1.5M
TEX,Texas Rangers,AL,2006,162,80,183,835,784,0.338,0.446,0.278,No,,2388757,2M–2.5M
TOR,Toronto Blue Jays,AL,2006,162,87,199,809,754,0.348,0.463,0.284,No,,2302182,2M–2.5M
WSN,Washington Nationals,NL,2006,162,71,164,746,872,0.338,0.418,0.262,No,,2153080,2M–2.5M
ARI,Arizona Diamondbacks,NL,2005,162,77,191,696,856,0.332,0.421,0.256,No,,2059331,2M–2.5M
ATL,Atlanta Braves,NL,2005,162,90,184,769,674,0.333,0.435,0.265,Yes,4.0,2521534,2.5M–3M
BAL,Baltimore Orioles,AL,2005,162,74,189,729,800,0.327,0.434,0.269,No,,2624804,2.5M–3M
BOS,Boston Red Sox,AL,2005,162,95,199,910,805,0.357,0.454,0.281,Yes,4.0,2847798,2.5M–3M
CHC,Chicago Cubs,NL,2005,162,79,194,703,714,0.324,0.44,0.27,No,,3100092,>3M
CHW,Chicago White Sox,AL,2005,162,99,200,741,645,0.322,0.425,0.262,Yes,1.0,2342834,2M–2.5M
CIN,Cincinnati Reds,NL,2005,163,73,222,820,889,0.339,0.446,0.261,No,,1943166,1.5M–2M
CLE,Cleveland Indians,AL,2005,162,93,207,790,642,0.334,0.453,0.271,No,,2014220,2M–2.5M
COL,Colorado Rockies,NL,2005,162,67,150,740,862,0.333,0.411,0.267,No,,1914389,1.5M–2M
DET,Detroit Tigers,AL,2005,162,71,168,723,787,0.321,0.428,0.272,No,,2024505,2M–2.5M
FLA,Florida Marlins,NL,2005,162,83,128,717,732,0.339,0.409,0.272,No,,1852602,1.5M–2M
HOU,Houston Astros,NL,2005,163,89,161,693,609,0.322,0.408,0.256,Yes,2.0,2804760,2.5M–3M
KCR,Kansas City Royals,AL,2005,162,56,126,701,935,0.32,0.396,0.263,No,,1371181,<1.5M
LAA,Los Angeles Angels,AL,2005,162,95,147,761,643,0.325,0.409,0.27,Yes,3.0,3404636,>3M
LAD,Los Angeles Dodgers,NL,2005,162,71,149,685,755,0.326,0.395,0.253,No,,3603680,>3M
MIL,Milwaukee Brewers,NL,2005,162,81,175,726,697,0.331,0.423,0.259,No,,2211023,2M–2.5M
MIN,Minnesota Twins,AL,2005,162,83,134,688,662,0.323,0.391,0.259,No,,2034243,2M–2.5M
NYM,New York Mets,NL,2005,162,83,175,722,648,0.322,0.416,0.258,No,,2829930,2.5M–3M
NYY,New York Yankees,AL,2005,162,95,229,886,789,0.355,0.45,0.276,Yes,4.0,4090440,>3M
OAK,Oakland Athletics,AL,2005,162,88,155,772,658,0.33,0.407,0.262,No,,2108818,2M–2.5M
PHI,Philadelphia Phillies,NL,2005,162,88,167,807,726,0.348,0.423,0.27,No,,2665291,2.5M–3M
PIT,Pittsburgh Pirates,NL,2005,162,67,139,680,769,0.322,0.4,0.259,No,,1817245,1.5M–2M
SDP,San Diego Padres,NL,2005,162,82,130,684,726,0.333,0.391,0.257,Yes,4.0,2869787,2.5M–3M
SEA,Seattle Mariners,AL,2005,162,69,130,699,751,0.317,0.391,0.256,No,,2724859,2.5M–3M
SFG,San Francisco Giants,NL,2005,162,75,128,649,745,0.319,0.396,0.261,No,,3181020,>3M
STL,St. Louis Cardinals,NL,2005,162,100,170,805,634,0.339,0.423,0.27,Yes,3.0,3542271,>3M
TBD,Tampa Bay Devil Rays,AL,2005,162,67,157,750,936,0.329,0.425,0.274,No,,1141915,<1.5M
TEX,Texas Rangers,AL,2005,162,79,260,865,858,0.329,0.468,0.267,No,,2525259,2.5M–3M
TOR,Toronto Blue Jays,AL,2005,162,80,136,775,705,0.331,0.407,0.265,No,,2014995,2M–2.5M
WSN,Washington Nationals,NL,2005,162,81,117,639,673,0.322,0.386,0.252,No,,2730352,2.5M–3M
ANA,Anaheim Angels,AL,2004,162,92,162,836,734,0.341,0.429,0.282,Yes,4.0,3375677,>3M
ARI,Arizona Diamondbacks,NL,2004,162,51,135,615,899,0.31,0.393,0.253,No,,2519560,2.5M–3M
ATL,Atlanta Braves,NL,2004,162,96,178,803,668,0.343,0.434,0.27,Yes,4.0,2322565,2M–2.5M
BAL,Baltimore Orioles,AL,2004,162,78,169,842,830,0.345,0.432,0.281,No,,2744013,2.5M–3M
BOS,Boston Red Sox,AL,2004,162,98,222,949,768,0.36,0.472,0.282,Yes,1.0,2837304,2.5M–3M
